Name,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO
Ronald Acuna Jr.,157,157,147,1361,296,281,10,5,1,0.983,6,5,-2,-2,1,1.92,1.84,,,,,,,
Ozzie Albies,148,148,146,1314,587,211,368,8,79,0.986,7,6,0,0,0,3.97,3.91,,,,,,,
Kolby Allard,4,3,0,12.1,0,0,0,0,0,,,,0,0,,0,0,,1,1,0,0%,19%,0
Nick Anderson,35,0,0,35.1,2,2,0,0,0,1,,,1,6,0,0.51,0.06,,1,0,2,100%,19%,0
Orlando Arcia,139,136,134,1210,518,184,322,12,69,0.977,-1,-1,-6,-6,1,3.76,3.64,,,,,,,
Jesse Chavez,36,1,0,34.2,6,1,4,1,1,0.833,,,0,0,0,1.3,0.14,,0,3,1,25%,19%,0
Travis d'Arnaud,63,59,56,530,580,563,12,5,1,0.991,-4,-10,0,0,-1,9.76,8.1,1,25,55,8,13%,19%,1
Dylan Dodd,7,7,0,34.1,1,0,1,0,0,1,,,0,0,0,0.26,0.14,,1,2,1,33%,19%,0
Bryce Elder,31,31,0,174.2,25,10,15,0,4,1,,,0,0,0,1.29,0.81,,11,9,1,10%,19%,0
Max Fried,14,14,1,77.2,15,6,7,2,0,0.867,,,-2,-5,0,1.51,0.93,,3,4,2,33%,19%,2
Vaughn Grissom,23,20,19,179,68,22,40,6,8,0.912,-8,-51,-7,-47,-1,3.12,2.7,,,,,,,
Brad Hand,20,0,0,18,4,0,4,0,0,1,,,0,0,0,2,0.2,,0,3,0,0%,19%,0
Michael Harris II,138,137,133,1205,316,306,8,2,2,0.994,-8,-8,2,2,1,2.35,2.28,,,,,,,
Daysbel Hernández,4,0,0,3.2,0,0,0,0,0,,,,0,0,,0,0,,0,1,0,0%,19%,0
Sam Hilliard,31,19,15,187,38,38,0,0,0,1,-2,-16,1,6,2,1.83,1.12,,,,,,,
Raisel Iglesias,58,0,0,55.2,9,5,4,0,2,1,,,1,4,0,1.46,0.16,,0,0,0,,,0
Joe Jimenez,59,0,0,56.1,3,1,2,0,0,1,,,-1,-4,0,0.48,0.05,,0,8,0,0%,19%,0
Pierce Johnson,24,0,0,23.2,4,2,2,0,0,1,,,0,0,0,1.52,0.17,,1,0,0,,,0
Dylan Lee,24,1,0,23.2,2,1,1,0,0,1,,,0,0,0,0.76,0.08,,0,3,0,0%,19%,0
Nicky Lopez,25,19,14,174.1,83,32,50,1,14,0.988,2,14,4,28,0,4.23,3.15,,0,0,0,,,0
Collin McHugh,41,1,0,58.2,9,4,5,0,1,1,,,0,0,0,1.38,0.22,,0,3,1,25%,19%,0
A.J. Minter,70,0,0,64.2,6,1,5,0,0,1,,,-1,-3,0,0.84,0.09,,1,15,4,21%,19%,1
Charlie Morton,30,30,0,163.1,24,5,18,1,1,0.958,,,-1,-1,-1,1.27,0.77,,4,16,3,16%,19%,2
Sean Murphy,102,98,93,866,959,919,30,10,2,0.99,-1,-1,8,11,1,9.86,8.87,3,30,69,19,22%,19%,1
Matt Olson,162,162,159,1426,1298,1194,96,8,124,0.994,6,5,8,7,3,8.14,7.96,,,,,,,
Marcell Ozuna,2,2,1,14,3,3,0,0,0,1,0,34,-1,-86,0,1.93,0.02,,,,,,,
Kevin Pillar,77,42,33,424,104,102,1,1,0,0.99,2,6,2,6,0,2.19,1.29,,,,,,,
Austin Riley,159,159,158,1412,393,95,287,11,38,0.972,13,11,9,8,1,2.43,2.4,,,,,,,
Eddie Rosario,130,122,90,1057,231,223,4,4,1,0.983,6,7,3,3,-1,1.93,1.62,,,,,,,
AJ Smith-Shawver,6,5,0,25.1,3,2,1,0,0,1,,,-1,-8,0,1.07,0.5,,3,5,1,17%,19%,0
Michael Soroka,7,6,0,32.1,1,0,1,0,0,1,,,0,0,0,0.28,0.14,,2,0,0,,,0
Jackson Stephens,5,0,0,12,4,2,2,0,0,1,,,-1,-17,0,3,0.8,,1,2,1,33%,19%,0
Spencer Strider,32,32,0,186.2,20,5,15,0,0,1,,,0,0,0,0.96,0.63,,6,19,2,10%,19%,0
Michael Tonkin,45,0,0,80,4,1,3,0,0,1,,,-2,-5,-1,0.45,0.09,,2,7,0,0%,19%,0
Forrest Wall,9,2,2,30,8,8,0,0,0,1,0,16,0,0,0,2.4,0.67,,,,,,,
Luke Williams,4,1,1,17,8,5,3,0,0,1,0,-24,1,71,0,4.24,1.6,,,,,,,
Kyle Wright,9,7,0,31,8,3,4,1,1,0.875,,,0,0,0,2.03,0.78,,2,2,0,0%,19%,0
Kirby Yates,61,0,0,60.1,8,3,4,1,0,0.875,,,-1,-3,0,1.04,0.11,,5,11,3,21%,19%,1